site,plot,su,sub,treat,rip,fence,Transdepth,comb2,comb2.short,comb3,comb3.short,sum1m2,TST,longevity,native,woody
AnkE,DRFC,AnkE.DRFC.a4,a4,control,ripped,fenced,deep,deep.ripped,DR,deep.ripped.fenced,DRF,0.25,2,perennial,native,yes
AnkE,DRFC,AnkE.DRFC.b4,b4,control,ripped,fenced,deep,deep.ripped,DR,deep.ripped.fenced,DRF,0.5,2,perennial,native,yes
AnkE,DRFC,AnkE.DRFC.c3,c3,control,ripped,fenced,deep,deep.ripped,DR,deep.ripped.fenced,DRF,0.25,2,perennial,native,yes
AnkE,DRFC,AnkE.DRFC.c4,c4,control,ripped,fenced,deep,deep.ripped,DR,deep.ripped.fenced,DRF,0.25,2,perennial,native,yes
AnkE,DRFT,AnkE.DRFT.a2,a2,smoke.plastic,ripped,fenced,deep,deep.ripped,DR,deep.ripped.fenced,DRF,0.25,2,perennial,native,yes
AnkE,DRFT,AnkE.DRFT.b1,b1,herbicide,ripped,fenced,deep,deep.ripped,DR,deep.ripped.fenced,DRF,0.25,2,perennial,native,yes
AnkE,DRFT,AnkE.DRFT.d4,d4,shade.semi,ripped,fenced,deep,deep.ripped,DR,deep.ripped.fenced,DRF,0.25,2,perennial,native,yes
AnkE,DROC,AnkE.DROC.a5,a5,control,ripped,open,deep,deep.ripped,DR,deep.ripped.open,DRO,0.25,2,perennial,native,yes
AnkE,DROC,AnkE.DROC.a6,a6,control,ripped,open,deep,deep.ripped,DR,deep.ripped.open,DRO,0.25,2,perennial,native,yes
AnkE,DUFC,AnkE.DUFC.a1,a1,control,unripped,fenced,deep,deep.unripped,DU,deep.unripped.fenced,DUF,0.5,2,perennial,native,yes
AnkE,DUFC,AnkE.DUFC.a2,a2,control,unripped,fenced,deep,deep.unripped,DU,deep.unripped.fenced,DUF,0.5,2,perennial,native,yes
AnkE,DUFC,AnkE.DUFC.a4,a4,control,unripped,fenced,deep,deep.unripped,DU,deep.unripped.fenced,DUF,0.25,2,perennial,native,yes
AnkE,DUFC,AnkE.DUFC.b1,b1,control,unripped,fenced,deep,deep.unripped,DU,deep.unripped.fenced,DUF,1,2,perennial,native,yes
AnkE,DUFC,AnkE.DUFC.b2,b2,control,unripped,fenced,deep,deep.unripped,DU,deep.unripped.fenced,DUF,0.25,2,perennial,native,yes
